10 0.514431 0.466801 0.1854 0.705644 0.515485 0.533195 0.82056 0.594951 0.837219 0.647473 0.582511 0.636416 0.621625 0.720982 0.672813 0.586306 0.465205 0.560348 0.630057 0.61711 0.477635 0.469655 0.753739 0.803391 0.716474 0.593805 0.591371 0.694186 0.657964 0.528605 0.492194 0.578101 0.679439 0.672817 0.480818 0.682223 0.389646 0.407392 0.517976 0.428658 0.261662 0.636915 0.427788 0.466076 0.729612 0.653097 0.327919 0.785993 0.769673 0.174631 0.846349 0.674269 0.415423 0.762646 0.722161 0.908895 0.912334 0.54896 0.573863 0.674129 0.459171 0.521156 0.475931 0.39596 0.813853 0.516517 0.764391 0.742278 0.481325 0.500718 0.625013 0.568537 0.708116 0.59853 0.628355 0.712355 0.518737 0.608401 0.704512 0.590263 0.766761 0.622334 0.691276 0.640144 0.802181 0.737536 0.326387 0.414271 0.383478 0.630443 0.644423 0.688527 0.344254 0.664186 0.764753 0.59351 0.888036 0.688857 0.635627 0.578108 
11 0.663638 0.785853 0.749216 0.781284 0.409424 0.579657 0.387644 0.754906 0.501027 0.534487 0.418872 0.705454 0.653203 0.450271 0.731172 0.743393 0.479495 0.709879 0.539109 0.474512 0.650763 0.464082 0.717957 0.413897 0.726212 0.638629 0.387577 0.803062 0.66652 0.769566 0.589711 0.74505 0.771602 0.691363 0.482972 0.60899 0.700907 0.537608 0.646536 0.763944 0.68461 0.582021 0.582351 0.537794 0.552823 0.517851 0.599983 0.584957 0.772053 0.598568 0.810302 0.638128 0.807361 0.733695 0.680695 0.530489 0.837068 0.537394 0.836332 0.727659 0.619419 0.622972 0.764858 0.794217 0.704668 0.609504 0.401467 0.507257 0.344983 0.607911 0.449616 0.71055 0.565367 0.820846 0.602266 0.464844 0.492263 0.778385 0.661868 0.490931 0.670533 0.428391 0.635052 0.684592 0.665478 0.644155 0.78709 0.646242 0.804472 0.695668 0.804081 0.743128 0.443514 0.391206 0.68603 0.523792 0.558955 0.77713 0.440144 0.585133 
13 0.761216 0.789534 0.545296 0.532207 0.4393 0.523063 0.498591 0.517821 0.320191 0.637207 0.694263 0.679859 0.638271 0.523453 0.40868 0.514491 0.590947 0.71726 0.671432 0.719008 0.599711 0.485879 0.60094 0.688765 0.485625 0.698916 0.461678 0.750833 0.479802 0.639235 0.751864 0.734396 0.652723 0.543632 0.640082 0.803836 0.777688 0.566338 0.576988 0.687778 0.68338 0.414206 0.710999 0.763938 0.653954 0.596917 0.833795 0.654884 0.658742 0.668779 0.559716 0.578154 0.451776 0.53308 0.687271 0.558405 0.638925 0.602232 0.722896 0.713012 0.781424 0.592941 0.743329 0.665801 0.440068 0.758506 0.396951 0.720018 0.632 0.793341 0.60412 0.650701 0.790235 0.788036 0.605438 0.663024 0.440948 0.480322 0.594413 0.719544 0.525978 0.736563 0.516453 0.720743 0.597584 0.683344 0.615708 0.817708 0.76048 0.626256 0.631631 0.670654 0.394148 0.420715 0.585116 0.75081 0.616619 0.414765 0.473303 0.762319 
14 0.830579 0.277954 0.377805 0.464108 0.670865 0.633913 0.357539 0.730523 0.64279 0.802061 0.583547 0.790554 0.704446 0.719749 0.635649 0.386582 0.551451 0.409575 0.639231 0.640252 0.710413 0.639347 0.851179 0.757435 0.49251 0.580098 0.656623 0.583274 0.824287 0.74654 0.763781 0.706029 0.801657 0.504379 0.694572 0.513739 0.433972 0.590013 0.682091 0.549666 0.631873 0.74271 0.601557 0.58398 0.729487 0.918062 0.724167 0.447805 0.71102 0.518717 0.675757 0.374939 0.754336 0.786082 0.714477 0.583568 0.45976 0.5931 0.495235 0.710678 0.575518 0.625699 0.544816 0.540147 0.586313 0.592504 0.685125 0.632204 0.663218 0.750118 0.568219 0.380973 0.750764 0.266971 0.544319 0.247401 0.535235 0.666282 0.659585 0.612717 0.469195 0.473761 0.800572 0.618252 0.763513 0.636228 0.356197 0.822875 0.620059 0.40603 0.518221 0.689466 0.564195 0.475536 0.608537 0.589786 0.485324 0.435277 0.55761 0.51871 
16 0.650912 0.387844 0.578547 0.57087 0.631481 0.521186 0.608854 0.493711 0.680453 0.788485 0.565585 0.630002 0.580779 0.688374 0.53698 0.648986 0.682852 0.533237 0.634324 0.272075 0.54401 0.697613 0.520422 0.555484 0.548208 0.706301 0.540451 0.665676 0.651071 0.668613 0.721843 0.550405 0.632524 0.520742 0.67981 0.623351 0.483161 0.643418 0.624903 0.670877 0.708413 0.537537 0.680178 0.537604 0.373315 0.508827 0.54921 0.604714 0.492697 0.643193 0.663304 0.641349 0.687449 0.474867 0.401567 0.70607 0.422008 0.58646 0.514132 0.681654 0.480736 0.534479 0.530483 0.548165 0.656119 0.579218 0.728264 0.644377 0.682128 0.577474 0.498616 0.784856 0.531789 0.788554 0.700673 0.664238 0.724737 0.672062 0.44041 0.714822 0.611529 0.541056 0.595835 0.638986 0.464604 0.645199 0.539595 0.632985 0.458642 0.579809 0.706054 0.703849 0.729214 0.516533 0.544512 0.634017 0.532853 0.730018 0.576547 0.556313 
18 0.622608 0.692646 0.664845 0.524578 0.732581 0.554227 0.643189 0.602486 0.571172 0.740431 0.49038 0.568792 0.689841 0.483139 0.747652 0.664819 0.509983 0.671609 0.637227 0.415603 0.486751 0.569296 0.54098 0.648005 0.637304 0.649998 0.682314 0.621738 0.465747 0.664913 0.574612 0.7099 0.755679 0.688493 0.551349 0.611754 0.768013 0.708217 0.618361 0.570466 0.688786 0.512294 0.330823 0.432225 0.507158 0.641754 0.604472 0.624939 0.668218 0.803804 0.56856 0.321894 0.459359 0.360957 0.793436 0.616599 0.655239 0.654699 0.23543 0.596945 0.69841 0.431444 0.701276 0.824819 0.679077 0.459399 0.604107 0.54401 0.653619 0.753094 0.63152 0.478229 0.712461 0.643389 0.470081 0.350067 0.55526 0.51638 0.471065 0.868938 0.479403 0.66611 0.461446 0.616095 0.465891 0.598216 0.586684 0.769793 0.489678 0.646578 0.718005 0.526585 0.632461 0.561631 0.534972 0.707341 0.585283 0.437412 0.605164 0.643821 
20 0.647128 0.644998 0.642499 0.565271 0.446257 0.59297 0.588698 0.717331 0.49586 0.577151 0.68973 0.811526 0.648476 0.577584 0.676746 0.59964 0.530466 0.562714 0.6116 0.621172 0.678309 0.408014 0.609809 0.561995 0.683801 0.433357 0.634244 0.683363 0.395644 0.75133 0.594219 0.607569 0.606535 0.612578 0.711813 0.589287 0.672744 0.506519 0.492811 0.721896 0.731058 0.645425 0.666802 0.454647 0.653257 0.514607 0.646421 0.730767 0.46998 0.595439 0.622639 0.568002 0.494249 0.516749 0.595701 0.647705 0.462046 0.52677 0.658636 0.495285 0.713575 0.655392 0.535042 0.475281 0.618877 0.477443 0.70034 0.651929 0.534137 0.597947 0.684123 0.697635 0.582023 0.760223 0.578632 0.648063 0.607016 0.793711 0.612287 0.528799 0.665585 0.582506 0.812183 0.680059 0.573225 0.658435 0.833941 0.658742 0.562045 0.559414 0.499124 0.684001 0.801496 0.649525 0.650112 0.690859 0.552061 0.594314 0.660891 0.627025 
22 0.516991 0.737011 0.452595 0.472935 0.745081 0.55127 0.771823 0.622166 0.604375 0.631815 0.655588 0.516966 0.625488 0.520126 0.67179 0.632701 0.73922 0.561051 0.603143 0.542995 0.62993 0.796036 0.472863 0.72772 0.602325 0.529727 0.664288 0.560788 0.582579 0.655837 0.540118 0.399825 0.583954 0.478939 0.672186 0.604175 0.601192 0.693871 0.725274 0.555385 0.74223 0.649826 0.552472 0.623737 0.647821 0.457424 0.697725 0.652943 0.734743 0.686467 0.437273 0.584891 0.716593 0.619546 0.522545 0.508292 0.667098 0.715074 0.667918 0.742747 0.682869 0.732666 0.562053 0.531499 0.462419 0.586409 0.614551 0.503045 0.608485 0.5089 0.590297 0.585566 0.629202 0.465703 0.634698 0.647065 0.797373 0.527605 0.659037 0.53654 0.576011 0.70205 0.644766 0.533867 0.612491 0.721184 0.646364 0.652332 0.57844 0.703769 0.726345 0.668849 0.472116 0.39517 0.621739 0.504202 0.648674 0.644354 0.826934 0.616526 
25 0.512655 0.641936 0.476879 0.590403 0.497778 0.571564 0.503144 0.714728 0.469432 0.735976 0.615745 0.639706 0.501664 0.613535 0.672369 0.673932 0.574411 0.625032 0.754549 0.535432 0.523701 0.551658 0.726207 0.701598 0.621387 0.663005 0.784014 0.708702 0.70618 0.70498 0.592714 0.556072 0.708496 0.586958 0.560874 0.489268 0.558322 0.549077 0.507271 0.526899 0.672091 0.658943 0.606462 0.503649 0.623863 0.583574 0.491542 0.534011 0.489127 0.596462 0.711973 0.701991 0.603833 0.488715 0.601659 0.489999 0.692359 0.529533 0.654637 0.413076 0.589167 0.592586 0.555794 0.649159 0.460644 0.496922 0.489487 0.617067 0.452133 0.775197 0.495146 0.421759 0.675459 0.715654 0.711382 0.554864 0.566015 0.651264 0.620028 0.639895 0.692698 0.494709 0.507447 0.669014 0.301779 0.633673 0.624778 0.74116 0.65811 0.514017 0.757564 0.383018 0.650079 0.61542 0.69709 0.584191 0.620492 0.39452 0.483947 0.516036 
28 0.540387 0.77667 0.529057 0.640147 0.583084 0.564258 0.65148 0.529906 0.527072 0.497511 0.692661 0.649229 0.598055 0.598882 0.527466 0.668753 0.555172 0.636846 0.608753 0.748495 0.573636 0.516131 0.515932 0.511352 0.626328 0.555532 0.68905 0.749961 0.635763 0.571006 0.529431 0.565405 0.55133 0.549658 0.561474 0.565608 0.637636 0.510856 0.524105 0.706444 0.807112 0.626468 0.647777 0.719278 0.611403 0.665076 0.611925 0.663182 0.689641 0.626897 0.73253 0.544454 0.534871 0.526615 0.559021 0.668851 0.517092 0.589043 0.579668 0.631066 0.736105 0.745514 0.668 0.507191 0.705624 0.612101 0.612637 0.605289 0.699544 0.69777 0.676111 0.666055 0.576787 0.635709 0.481992 0.569731 0.602492 0.494277 0.532541 0.676679 0.630238 0.57632 0.570252 0.536374 0.572468 0.597961 0.688854 0.668143 0.463351 0.517966 0.609294 0.718289 0.637075 0.736217 0.63062 0.484803 0.483011 0.742138 0.633988 0.78144 
